Article_Title,Speciality,Year,Description,Revue,Volume,Number,Pages
Actinobacteria from extreme niches in morocco and their plant growth-promoting potentials,Agricultural Sciences,2019,"Diversity 11 (8), 139, 2019",Diversity,11,8,139
Actinobacteria from extreme niches in morocco and their plant growth-promoting potentials,Biotechnology,2019,"Diversity 11 (8), 139, 2019",Diversity,11,8,139
Antimicrobial potential of actinomycetes isolated from the unexplored hot Merzouga desert and their taxonomic diversity,Agricultural Sciences,2019,"Biology open 8 (2), bio035410, 2019",Biology open,8,2,035410
Antimicrobial potential of actinomycetes isolated from the unexplored hot Merzouga desert and their taxonomic diversity,Biotechnology,2019,"Biology open 8 (2), bio035410, 2019",Biology open,8,2,035410
The screening of potassium-and phosphate-solubilizing actinobacteria and the assessment of their ability to promote wheat growth parameters,Agricultural Sciences,2021,"Microorganisms 9 (3), 470, 2021",Microorganisms,9,3,470
The screening of potassium-and phosphate-solubilizing actinobacteria and the assessment of their ability to promote wheat growth parameters,Biotechnology,2021,"Microorganisms 9 (3), 470, 2021",Microorganisms,9,3,470
Isolation and characterization of rock phosphate solubilizing actinobacteria from a Togolese phosphate mine,Agricultural Sciences,2012,"African Journal of Biotechnology 11 (2), 312, 2012",African Journal of Biotechnology,11,2,312
Isolation and characterization of rock phosphate solubilizing actinobacteria from a Togolese phosphate mine,Biotechnology,2012,"African Journal of Biotechnology 11 (2), 312, 2012",African Journal of Biotechnology,11,2,312
Potential role and utilization of plant growth promoting microbes in plant tissue culture,Agricultural Sciences,2021,"Frontiers in Microbiology 12, 649878, 2021",Frontiers in Microbiology,12,,649878
Potential role and utilization of plant growth promoting microbes in plant tissue culture,Biotechnology,2021,"Frontiers in Microbiology 12, 649878, 2021",Frontiers in Microbiology,12,,649878
Physiological studies and comparative analysis of rock phosphate solubilization abilities of Actinomycetales originating from Moroccan phosphate mines and of Streptomyces lividans,Agricultural Sciences,2010,"Applied Soil Ecology 44 (1), 24-31, 2010",Applied Soil Ecology,44,1,2431
Physiological studies and comparative analysis of rock phosphate solubilization abilities of Actinomycetales originating from Moroccan phosphate mines and of Streptomyces lividans,Biotechnology,2010,"Applied Soil Ecology 44 (1), 24-31, 2010",Applied Soil Ecology,44,1,2431
Chemical composition of essential oil of Jatropha curcas L. leaves and its antioxidant and antimicrobial activities,Agricultural Sciences,2018,"Industrial crops and products 121, 405-410, 2018",Industrial crops and products,121,,405410
Chemical composition of essential oil of Jatropha curcas L. leaves and its antioxidant and antimicrobial activities,Biotechnology,2018,"Industrial crops and products 121, 405-410, 2018",Industrial crops and products,121,,405410
A putative role for fusaric acid in biocontrol of the parasitic angiosperm Orobanche ramosa,Agricultural Sciences,2006,"Molecular plant-microbe interactions 19 (5), 550-556, 2006",Molecular plant-microbe interactions,19,5,550556
A putative role for fusaric acid in biocontrol of the parasitic angiosperm Orobanche ramosa,Biotechnology,2006,"Molecular plant-microbe interactions 19 (5), 550-556, 2006",Molecular plant-microbe interactions,19,5,550556
Artemia salina as a new index for assessment of acute cytotoxicity during co-composting of sewage sludge and lignocellulose waste,Agricultural Sciences,2016,"Waste management 50, 194-200, 2016",Waste management,50,,194200
Artemia salina as a new index for assessment of acute cytotoxicity during co-composting of sewage sludge and lignocellulose waste,Biotechnology,2016,"Waste management 50, 194-200, 2016",Waste management,50,,194200
Efficacy of phosphate solubilizing Actinobacteria to improve rock phosphate agronomic effectiveness and plant growth promotion,Agricultural Sciences,2021,"Rhizosphere 17, 100284, 2021",Rhizosphere,17,,100284
Efficacy of phosphate solubilizing Actinobacteria to improve rock phosphate agronomic effectiveness and plant growth promotion,Biotechnology,2021,"Rhizosphere 17, 100284, 2021",Rhizosphere,17,,100284
Purification of antibiotics from the biocontrol agent Streptomyces anulatus S37 by centrifugal partition chromatography,Agricultural Sciences,2014,"Journal of Chromatography B 944, 30-34, 2014",Journal of Chromatography B,944,,3034
Purification of antibiotics from the biocontrol agent Streptomyces anulatus S37 by centrifugal partition chromatography,Biotechnology,2014,"Journal of Chromatography B 944, 30-34, 2014",Journal of Chromatography B,944,,3034
Genetic structure and core collection of the World Olive Germplasm Bank of Marrakech: towards the optimised management and use of Mediterranean olive genetic resources,Biotechnology,2011,"Genetica 139, 1083-1094, 2011",Genetica,139,,10831094
Induction of natural defence accompanied by salicylic acid-dependant systemic acquired resistance in tomato seedlings in response to bioelicitors isolated from green algae,Biotechnology,2012,"Scientia Horticulturae 138, 55-63, 2012",Scientia Horticulturae,138,,5563
"Arbuscular Mycorrhizal Fungi Mediate Drought Tolerance and Recovery in Two Contrasting Carob (Ceratonia siliqua L.) Ecotypes by Regulating Stomatal, Water …",Biotechnology,2020,"Plants 9 (1), 80, 2020",Plants,9,1,80
Cell wall-bound phenolic acid and lignin contents in date palm as related to its resistance to Fusarium oxysporum,Biotechnology,2001,"Biologia plantarum 44 (1), 125-130, 2001",Biologia plantarum,44,1,125130
Induction of natural defense and protection against Penicillium expansum and Botrytis cinerea in apple fruit in response to bioelicitors isolated from green algae,Biotechnology,2015,"Scientia Horticulturae 181, 121-128, 2015",Scientia Horticulturae,181,,121128
Seaweed polysaccharides as bio-elicitors of natural defenses in olive trees against verticillium wilt of olive,Biotechnology,2018,"Journal of Plant Interactions 13 (1), 248-255, 2018",Journal of Plant Interactions,13,1,248255
Inoculation of Platanus acerifolia with Ceratocystis fimbriata f. sp. platani induces scopoletin and umbelliferone accumulation,Biotechnology,1993,"Phytochemistry 34 (5), 1271-1276, 1993",Phytochemistry,34,5,12711276
Mechanisms of date palm resistance to Bayoud disease: Current state of knowledge and research prospects,Biotechnology,2010,"Physiological and Molecular Plant Pathology 74 (5-6), 287-294, 2010",Physiological and Molecular Plant Pathology,74,56,287294
Phenolic compounds in date palm cultivars sensitive and resistant toFusarium oxysporum,Biotechnology,1996,"Biologia Plantarum 38, 451-457, 1996",Biologia Plantarum,38,,451457
Changes in Cell Wall‐bound Phenolic Compounds and Lignin in Roots of Date Palm Cultivars Differing in Susceptibility to Fusarium oxysporum f. sp. albedinis,Biotechnology,2000,"Journal of Phytopathology 148 (7-8), 405-411, 2000",Journal of Phytopathology,148,78,405411
Differential induction of phenylalanine ammonia-lyase activity in date palm roots in response to inoculation with Fusarium oxysporum f. sp. albedinis and to elicitation with …,Biotechnology,2001,"Journal of Plant Physiology 158 (6), 715-722, 2001",Journal of Plant Physiology,158,6,715722
Physiological and biochemical traits of drought tolerance in Argania spinosa,Biotechnology,2015,"Journal of Plant Interactions 10 (1), 252-261, 2015",Journal of Plant Interactions,10,1,252261
Changes in antioxidant activities and phenol content in tomato plants subjected to partial root drying and regulated deficit irrigation,Biotechnology,2008,"Plant Biosystems-An International Journal Dealing with all Aspects of Plant …, 2008","Plant Biosystems-An International Journal Dealing with all Aspects of Plant …,",,,
"Leaf water status, osmoregulation and secondary metabolism as a model for depicting drought tolerance in Argania spinosa",Biotechnology,2015,"Acta Physiologiae Plantarum 37, 1-16, 2015",Acta Physiologiae Plantarum,37,,116
Effect of arbuscular mycorrhizal fungi and phosphate-solubilizing bacteria consortia associated with phospho-compost on phosphorus solubilization and growth of tomato seedlings …,Biotechnology,2020,"Communications in Soil Science and Plant Analysis 51 (5), 622-634, 2020",Communications in Soil Science and Plant Analysis,51,5,622634
Construction of a genetic linkage map for the olive based on AFLP and SSR markers,Biotechnology,2010,"Crop science 50 (6), 2291-2302, 2010",Crop science,50,6,22912302
Assemblage of indigenous arbuscular mycorrhizal fungi and green waste compost enhance drought stress tolerance in carob (Ceratonia siliqua L.) trees,Biotechnology,2021,"Scientific Reports 11 (1), 22835, 2021",Scientific Reports,11,1,22835
"Evaluation of the nutrients cycle, humification process, and agronomic efficiency of organic wastes composting enriched with phosphate sludge",Biotechnology,2021,"Journal of Cleaner Production 302, 127051, 2021",Journal of Cleaner Production,302,,127051
Use of alginate extracted from Moroccan brown algae to stimulate natural defense in date palm roots,Biotechnology,2020,"Molecules 25 (3), 720, 2020",Molecules,25,3,720
Differential physiological and antioxidative responses to drought stress and recovery among four contrasting Argania spinosa ecotypes,Biotechnology,2016,"Journal of Plant Interactions 11 (1), 30-40, 2016",Journal of Plant Interactions,11,1,3040
Physico-chemical properties of nanocrystalline apatites: implications for biominerals and biomaterials,Biotechnology,2007,"Materials Science and engineering: C 27 (2), 198-205, 2007",Materials Science and engineering: C,27,2,198205
Physico-chemical properties of nanocrystalline apatites: implications for biominerals and biomaterials,Mathematics and Computational Sciences,2007,"Materials Science and engineering: C 27 (2), 198-205, 2007",Materials Science and engineering: C,27,2,198205
Hydroxyapatite crystals as a local delivery system for cisplatin: adsorption and release of cisplatin in vitro,Biotechnology,2002,"Journal of orthopaedic research 20 (2), 274-280, 2002",Journal of orthopaedic research,20,2,274280
Hydroxyapatite crystals as a local delivery system for cisplatin: adsorption and release of cisplatin in vitro,Mathematics and Computational Sciences,2002,"Journal of orthopaedic research 20 (2), 274-280, 2002",Journal of orthopaedic research,20,2,274280
"Removal of the herbicide 2, 4-dichlorophenoxyacetate from water to zinc–aluminium–chloride layered double hydroxides",Biotechnology,2005,"Water Research 39 (15), 3441-3448, 2005",Water Research,39,15,34413448
"Removal of the herbicide 2, 4-dichlorophenoxyacetate from water to zinc–aluminium–chloride layered double hydroxides",Mathematics and Computational Sciences,2005,"Water Research 39 (15), 3441-3448, 2005",Water Research,39,15,34413448
Ion exchange of different phosphate ions into the zinc–aluminium–chloride layered double hydroxide,Biotechnology,1999,"Materials Letters 38 (6), 391-395, 1999",Materials Letters,38,6,391395
Ion exchange of different phosphate ions into the zinc–aluminium–chloride layered double hydroxide,Mathematics and Computational Sciences,1999,"Materials Letters 38 (6), 391-395, 1999",Materials Letters,38,6,391395
Interactions of cisplatin with calcium phosphate nanoparticles: in vitro controlled adsorption and release,Biotechnology,2004,"Journal of Orthopaedic Research 22 (4), 703-708, 2004",Journal of Orthopaedic Research,22,4,703708
